salutations	salutoj
could  you get me some ice?  another  blanket  some  drinking water  a  drinking glass  an  electric fan  a  heater  an  iron  a  pillow  some  shampoo  some  soap  some  toilet paper  a  towel	ĉu vi bonvolus doni iom da glacio?  alian kovrilon  iom da trinkakvo  glason  ventumilon  hejtilon  gladilon  kusenon  iom da ŝampuo  iom da sapo  necesej-paperon  tukon
can  we still order breakfast?	ĉu ni ankoraŭ povas mendi matenmanĝon?
is  it possible to have these clothes washed?	ĉu oni povas lavi tiujn ĉi vestaĵojn?
please  have these clothes dry-cleaned.	bonvolu sendi tiujn ĉi vestaĵojn por sek-lavado.
may  i have the bill please?	la fakturon, mi petas.
i  wish to speak to the manager.	mi volas paroli kun la hotelestro.
please  call for a taxi.	bonvolu alvoki taksion.
personal comfort	persona  komforto
what's  the matter?	kio estas la problemo?
is  everything all right?	ĉu ĉio estas en ordo?
i'm  cold. hot  thirsty  hungry  tired  angry  fine  happy  sad	mi estas malvarma.  varma  soifa  malsata  laca  kolera  bona  feliĉa  malfeliĉa
please  leave me alone.	bonvolu lasi min.
money	mono
where  is the bank?	kie estas la banko?
where  can i find an atm machine?	kie troviĝas bankmaŝino?
i  need to get some money from an atm machine	mi devas elmurigi monon.
where  can i exchange foreign currency?	kie mi povas ŝanĝi monon?
what  is today's dollar exchange rate?	kiom estas la kurzo?
please  change this into euros. forints  francs  pesos  pounds  rubles  yen  złoty  coins	bonvolu ŝanĝi por eŭroj.  forintoj  frankoj  pesoj  pundoj  rubloj  enoj  zlotoj  moneroj
do  you accept credit cards? travelers  checks	ĉu vi akceptas kredit-kartojn?  vojaĝ-ĉekojn
food and drink	manĝaĵoj  kaj trinkaĵoj
where  is the supermarket? store  butcher  shop bakery	kie estas la superbazaro? vendejo  viandejo  bakistejo
where  can i buy fruit? apples  bananas  cherries  figs  grapes  grapefruit  lemons  limes  mangoes  oranges  papaya  peaches  pears  pineapples  plums  raisins  strawberries  watermelon	kie mi povas aĉeti fruktojn? pomojn  bananojn  ĉerizojn  figojn  vinberojn  grapfruktojn  citronojn  limonojn  mangojn  oranĝojn  papajojn  persikojn  pirojn  ananasojn  prunojn  sekvinberojn  fragojn  akvomelonojn
i  prefer vegetables. beans  broccoli  cabbage  carrots  cauliflower  cucumbers  eggplant  garlic  green  bell peppers lettuce  mushrooms  olives  onions  peas  potatoes  tomatoes	mi preferas legomojn.  fazeolojn  brokolon  brasikon  karotojn  florbrasikon  kukumojn  melongenon  ajlon  paprikojn  laktukon  fungojn  olivojn  cepojn  pizojn  terpomojn  tomatojn
i  would like to buy some beef. bacon  chicken  ham  lamb  mutton  pork  sausage  veal  venison	mi volas aĉeti bovaĵon.  lardon  kokinaĵon  ŝinkon  ŝafidaĵon  ŝafaĵon  porkaĵon  kolbasojn  bovidaĵon  cervaĵon
i  like seafood.  clams  crab  lobster  oysters  shrimp	mi ŝatas marmanĝaĵojn.  pektenojn  krabaĵon  omaron  ojstrojn  salikokojn
i  need bread. butter  a  cake candy  cheese  chocolate  cookies  cream  milk  noodles  nuts  pasta  peanuts  rice  a  sandwich yogurt	mi bezonas panon.  buteron  kukon  dolĉaĵojn  fromaĝon  ĉokolaton  keksojn  or biskvitojn  kremon  lakton  nudlojn  nuksojn  pastaĵon  ternuksojn  or  arakidojn  rizojn  sandviĉon  johurton
where  can i buy soda water? a  bottle of water	kie mi povas aĉeti sodakvon?  botelon da akvo
i  prefer non-carbonated water.	mi preferas akvon sen gaso.
i'd like eggs.	mi volas ovojn.
may  i have tea? coffee	teon,  mi petas  kafon
with  sugar	kun sukero
with  milk	kun lakto
with  non-dairy creamer	kun lakto-polvoro
with  lemon	kun citrono
with  honey	kun mielo
with  cream	kun kremo
black	negran
would  you like some lemonade? fruit  juice orange  juice  apple  juice soda	ĉu vi deziras iom da limonado?  frukto-suko  oranĝsuko  pomsuko  sodo
i'd  like a beer, please. white wine red  wine champagne  irish  cream liquor vodka  whiskey	bieron,  mi petas  blankan vinon  ruĝan vinon  ĉampanon  irlandan kremlikvoron  vodkon  viskion
on  the rocks	kun glacio
straight  up	sen glacio
with  a twist	kun citron-ŝelero
and  cola	kun kolao
at the restaurant	ĉe  restoracio
could  you recommend an inexpensive restaurant?	ĉu vi povus rekomendi malaltkostan restoracion?
could  you bring me another bowl of rice?	bonvolu alporti alian bovlon da rizoj.
may  i see a menu?	ĉu mi povas vidi menuon?
do  they have vegetarian dishes?	ĉu ili havas vegetaranajn manĝaĵojn?
enjoy!	bonan apetiton!
i  need a knife. a  fork a  spoon chopsticks  a  plate a  napkin a  cup a  bowl a  glass of water a  wine glass salt  pepper  mustard  vinegar	mi bezonas tranĉilon.  forkon  kuleron  manĝbastonetojn  teleron  mantukon  tason  bovlon  glason da akvo  vinglason  salon  paprikaĵon  mustardon  vinagron
i  would like to order some soup.	mi volas mendi iom da supo.
check,  please.	la fakturon, mi petas.
i'll  pay for it.	mi pripagos.
i'll  leave a tip.	mi lasos trinkmonon.
shopping	butikumado
can  i help you?	ĉu mi povas helpi vin?
where  can i buy souvenirs? camera  film videotape  magazines  an  english newspaper a  book stationery	kie mi povas aĉeti memoraĵojn?  foto-filmon  vidbendon  gazetojn  ĵurnalon en la angla  libron  papervarojn
i  am going to the florist. book  store pharmacy  department  store	mi iras al florejo.  librovendejo  apoteko  magazeno
how  much does it cost?	kiom ĝi kostas?
i  bought a jacket. some  pants a  shirt/a blouse a  sweater a  skirt a  dress a  coat a  raincoat a  bathing suit a  pair of shoes	mi aĉetis jakon.  pantalonon  ĉemizon  puloveron  jupon  robon  mantelon  pluvjakon  bankostumo  paron da ŝuoj
leisure	distre
would  you like to see the city?	ĉu vi ŝatus vidi la urbon?
i  will take you on a tour.	mi ĉiĉeronos vin.
i  will drive you there.	mi ŝoferos vin tien.
i  would like to go to the mountains. beach  pool  country  caves	mi volas iri al la montoj. plaĝo  naĝejo  kamparo  kavoj
could  you take a photo of us?	ĉu vi fotus nin?
i'd  like to get two tickets to the ballet. concert  opera	du biletojn al la baledo, mi petas.  koncerto  opero
they  are out of tickets.	ne plu aĉeteblas biletojn.
i  like the theater.  the  cinema movies  the  circus to  watch t.v. to  go to museums	mi ŝatas la teatron. la kinon  filmojn  la cirkon  spekti televidon  iri al muzeoj
at  what time does the play begin? tour	je kioma horo komenciĝas la teatraĵo?  rondvojaĝo
what  film is playing tonight?	kiu filmo spekteblas ĉi-nokte?
where  is the ticket office?	kie estas la biletejo?
is there a bar  nearby? discotheque	ĉu troviĝas drinkejo proksime?  diskoteko
where do i register?	kie mi enregistriĝas?
i will provide for my own logding.	mi estas memzorganto.
i am a member of uea.	mi estas ano de uea.
what is the fee?	kiom estas la kotizo?
how much do i owe?	kiom mi ŝuldas?
where is the message board?	kie estas la mesaĝtabulo?
when does that meeting begin?	kiam komenciĝos tiu programero?
at what time does the food hall open? close	je kioma horo malfermiĝos la manĝejo?  fermiĝos
please don't speak other languages!	ne krokodilu!
post office	poŝtoficejo
where is the post  office?	kie estas la  poŝtoficejo?
how much is it to send a  letter to the usa?	kiom kostas sendi  leteron al usono?
can i have money wired  to me here?	ĉu mi povas kolekti  elektronikan montranssendon ĉi tie?
i'd like to buy stamps,  please  postcards  an envelope	mi volas aĉeti poŝtmarkojn.  poŝtkartojn  koverton
i'd like to send this by registered mail. by air mail by express mail overnight	mi volas sendi tiun ĉi  per registropoŝto. per aerpoŝto per eksprespoŝto transnokte
i'd like to send money.	mi volas transsendi  monon.
when will the mail  arrive?	kiam alvenos la poŝto?
where is there a  mailbox?	kie estas poŝtkesto?
this contains printed  matter.  fragile material	ĝi enhavas elpresaĵojn.  delikataĵojn.
at the office	ĉe oficejo
where can i make  photocopies?	kie mi povas fotokopii?
may i use the computer?  fax machine cellular telephone	ĉu mi povas uzi la komputilon? faksmaŝinon  or telekopiilon poŝtelefonon
how much do you charge  per page?	kiom estas la porpaĝa  kosto?
could i send a fax?	ĉu mi povas sendi fakson?
the telephone	la telefono
may i use the telephone?	ĉu mi povas uzi la  telefonon?
where is the telephone  directory?	kie estas telefonlibro?
how do i make a call to  washington?	kiel mi povas telefoni  al vaŝingtono?
i'd like to make a  collect call. an international a long-distance	mi volas fari  rembursan vokon. internacian  longdistancan
what is the area code  for havana?	kio estas la regionkodo  por havano?
the line is busy.	la linio estas okupata.
hello?	ha lo?
who's speaking?	kiu parolas?
it's sven.	estas sven.
may i speak to maria?	ĉu mi povas paroli kun  maria?
could you take a  message?	ĉu vi bonvolus doni  mesaĝon?
transportation	transporto
have a good trip!	bonan vojaĝon!
where can i rent a car? bicycle  motorcycle	kie mi povas lui aŭton? biciklon  motorciklon
where can i board the  ferry? board the boat	kie mi povas surpramiĝi?  surŝipiĝi
where is the subway  station?  train station train stop bus stop	kie estas la metrohaltejo?  stacidomo  trajnhaltejo  aŭtobushaltejo
i need a porter. luggage cart	mi bezonas portiston.  ĉaron
i'd like a schedule,  please.	horaron, mi petas.
how much is a one-way  ticket?  round-trip	kiom kostas bileto unudirekta?  tien-reen
how much is a first  class ticket? second-class  sleeper	kiom kostas unuaklasan  bileton?  duaklasan  dorman
could you tell me when  we reach tokyo?	bonvolu informi min kiam  ni atingas tokion.
is there a dining car? sleeping car	ĉu estas manĝvagono?  dormvagono
when does the train  leave istanbul?	kiam la trajno ekos el  istanbulo?
when does the train  arrive in barcelona?	kiam la trajno alvenos  en barcelono?
it is on time?	ĉu ĝi estas akurata?
does this train go to allahabad?	ĉu tiu ĉi trajno iras al  alahabado?
how long will we be  stopped here?	kiom longe ni haltos ĉi  tie?
at the airport	ĉe flughaveno
which is the gate for domestic  flights? international	kie estas la pordo por enlandaj  flugoj?  internaciaj
how long will the flight  to nairobi be delayed?	kiom longe prokrastiĝos  la flugo al najrobio?
i'd like to sit in the smoking  section non-smoking	mi volas sidi en la  sekcio por fumantoj.  nefumantoj
please call the flight attendant.	bonvolu alvoki la  serviston.
at customs	ĉe dogano
this is my luggage.  handbag  briefcase	jen mia valizo. mansako  portoteko
i have nothing to  declare.	mi havas nenion por  deklari.
please open your  bag.  close	bonvolu malfermi  vian sakon. fermi
i have some perfume. cigarettes gifts personal belongings	mi havas parfumon.  cigaredojn donacojn personajn posedaĵojn
in the car	en aŭto
how many kilometers to  oslo?	kiom da kilometroj ĝis  oslo?
can you direct me to the  highway? a gas station  downtown	bonvolu direkti min al ŝoseo.  benzinejo  la urbocentro
this doesn't work.	tiu ĉi ne funkcias.
please repair the tire.	bonvolu ripari la  pneŭon.
where is the hospital?	kie estas la  malsanulejo?
call an ambulance.  a doctor  the police  the fire department	alvoku krizaŭton.  doktoron  la policon  la fajrobrigadon
fire!	fajro!
help!	helpu!
this is an emergency!	estas krizo!
it's dangerous!	estas danĝere!
i'm sick.	mi estas malsana.
i need an interpreter.	mi bezonas tradukiston.
i've lost my family.  child  passport	mi perdis mian familion.  infanon  pasporton
my wallet has been  stolen.	iu ŝtelis mian  monbilujon.
i'm allergic to  penicillin.	mi estas alergia al  penicilino.
i'm diabetic.	mi estas diabeta.
my arm hurts.  back  foot  hand  head  leg  neck  stomach	dolorigas min mia brako.  dorso  piedo  mano  kapo  gambo  kolo  stomako
my knees hurt.  ankles  eyes	dolorigas min miaj genuoj.  maleoloj  okuloj
thank you for your help.	dankon pro via helpo.
from students' essays	el eseoj de studentoj
his thoughts tumbled in his head, making and breaking alliances like underpants in a washing machine.	liaj pensoj kunfalis en la kapo, farante kaj rompante aliancojn kiel kalsono en lavmaŝino
the little boat slowly drifted across the pond in exactly the same way a bowling ball wouldn't.	la malgranda boato malrapide drivis trans la lageto, samkiel keglopilko ne drivus.
john and mary had never met. they were like two humming-birds who had also never met.	johano kaj maria neniam jam renkontiĝis.  ili similis al du kolibroj, kiuj ankaŭ neniam jam renkontiĝis.
she had a deep, throaty laugh, like the sound a dog makes just before it throws up.	ŝi havis malaltan, ĝorĝan ridon, kiel tiu sono kiun faras hundo ĵus antaŭ ol ĝi vomas.
the red brick wall was the color of a brick-red crayon.	la ruĝa brika muro havis la koloron de brik-ruĝa paŝtelo.
he was deeply in love.  when she spoke, he thought he heard bells, as if she were a truck reversing.	li ege enamiĝis.  kiam ŝi parolis, li pensis, ke li aŭdas sonorilojn, kvazaŭ ŝi estus ŝarĝaŭto retroiranta.
he fell twelve stories and hit the pavement like a paper bag filled with vegetable soup.	li falis dekdu etaĝojn kaj trafis la trotuaron kiel papersako plena de legomsupo.
he was as lame as a duck.  not the metaphorical lame duck, but a real duck that was actually lame.  maybe from stepping on a landmine or something.	li estis tiel lama kiel anaso.  ne la metafora lama anaso, sed reala anaso, kiu vere lamis.  eble pro tretado sur kontaktmino aŭ io.
granddad had a mind like a steel trap - one that had been left out so long it had rusted shut.	avo havis menson kiel ŝtalkaptilon – lasitan ekstere tiom longe ke ĝi fermiĝis pro rusto.
disappearing languages	lingvoj malaperantaj
some linguists complain about the unprecedented disappearance of minority languages throughout the world.  the phenomenon is compared with the recent mass extermination of animals.  although parallels undoubtedly exist, as a biologist i want to comment on important differences between these two phenomena.	kelkaj lingvistoj plendas pri la neprecedenta malapero de minoritataj lingvoj tra la mondo.  oni komparas tiun fenomenon kun la lastatempa amasa ekstermo de bestoj.  kvankam sendube ekzistas paraleloj, mi, kiel biologo, deziras komenti pri gravaj malsimilecoj inter la du fenomenoj.
we should accept that in general biological extinction represents a completely irretrievable loss of unique, sometimes beautiful or certainly interesting animals and consequently a decrease in biodiversity.  and biodiversity influences the stability of the ecosystem.	ni akceptu, ke ĝenerale biologiaj estingoj reprezentas tute neretroveblajn perdojn de unikaj, kelkfoje belaj, utilaj aŭ certe interesaj plantoj aŭ bestoj kaj sekve malpliigon de biodiverseco.  kaj biodiverseco influas la stabilecon de ekosistemoj.
however when one discusses the diversity of languages that means only the one recognizes the existence of various languages.  it would be difficult to support the idea that linguistic diversity would help the stability of anything at all.	tamen kiam oni diskutas pri la diversaj lingvoj, tio signifas nur ke oni agoskas la ekziston de diversaj lingvoj.  estus malfacile subteni la ideon ke lingva diverseco helpos je stabiligo de io ajn.
if a language disappears, that doesn't mean that the human concepts and way of thinking disappear as well.	se lingvo malaperas, tio ne signifas ke la homaj konceptoj kaj pensmanieroj samtempe malaperas.
language inequality in international relations	lingva neegaleco en internaciaj aferoj
any information about esperanto is pointless if the target group is unaware of the existence of linguistic inequality and the undemocratic nature of the present international linguistic order.	ĉia informado pri esperanto estas senperspektiva, se la celgrupo ne konscias pri la ekzisto de lingva neegaleco kaj la nedemokratieco de la nuna internacia lingva ordo.
it follows that the first aim of information must be to reveal to the general public the fundamental lack of democracy in a communication system which gives lifelong privilege to some while demanding from others years of effort to acquire an imperfect knowledge of a particular language.	la unua celo de la informado devas sekve esti ke generala publiko malkovru la fundamentan nedemokratiecon de komunika sistemo, kiu tutvive privilegias iujn sed postulas de aliaj jarojn da penoj por atingi tamen malperfektan lingoscion.
in attempting to start a discussion on linguistic inequality and language rights, many potential allies with similar aims can be found.	en la strebado estigi diskuton pri lingva egaleco kaj lingvaj rajtoj troveblas multaj potencialaj aliancanoj kun similaj celoj.
there are many scientific works on the effects of linguistic inequality at international, local and individual levels.	ekzistas multaj sciencaj verkoj pri la efikoj de lingva neegaleco je tutmonda, loka kaj individua niveloj.
for those responsible for information, the subject is worth studying carefully.  to change reality it is first necessary to get to know it in depth.	indas, ke respondeculoj pri informado bone trastudu la temon.  por ŝanĝi la realaĵojn necesas unue ĝisfunde ekkoni ilin.
diversity: opportunity or threat?	diverseco:  ŝanco aŭ minaco?
the world wide polemic about globalization shows up the tension between two different concepts about our world.	la tutmonda polemiko pri tutmondismo reliefigas la streĉitecon inter du malsamaj konceptoj de nia mondo.
in the opinion of some, the integration of the world caused by advances in technology, particularly in communication, cannot be stopped:  the opening of markets, the creation of an ever larger class of educated people whose perspective extends beyond national boundaries, the gradual appearance of an internationalized culture and internationalized language, all of this is inevitable, even desirable.	laŭ ies opinio la avanco de teknologio, precipe en komunikado, ne haltigeble integrigas la mondon: la malfermiĝo de merkatoj, la kreiĝo de ĉiam pli granda edukita klaso de homoj, kies perspektivo etendiĝis preter la naciaj limoj, la iompostioma apero de internaciigita kulturo kaj internaciigita lingvo, ĉio ĉi estas neevitebla, eĉ dezirinda.
ili krome asertas, ke la homoj havas rajton ĝui la propran kulturon, paroli la propran lingvon kaj vivi la propran vivon laŭ valoroj ne nepre similaj al tiuj de ĉiuj aliaj.	aliaj opinias, ke tiu tutmonda, globala socio, alportas grandajn negativajn elementojn.  ili argumentas, ke la avantaĝoj de kelakj estas aĉetataj je la kosto de multaj, kiuj restas malriĉaj kaj ekspluataj.
cats - a new therapy?	katoj - ĉu nova terapio?
sonic communication from tigers and giraffes may be the new wave of alternative medicine.  a study from the usa, fauna communications, has proven that animals communicate infrasonically .  .	sona komunikado de tigroj kaj ĝirafoj eble estos la nova modo de alternativa medicino.  studaĵo el usono, faŭna komunikado, pruvis, ke bestoj interkomunikas infrasone.  .
most interesting to some may be the finding that a cat's purr matches vibrations and frequencies that promote bone growth, healing of fractures, ligaments and torn muscles, reduction of swelling and alleviation of pain.	plej interese al iuj eble estas la eltrovo ke la ronronado de kato agordiĝas kun vibradoj kaj frekvencoj kiuj akcelas ostokreskadon, resaniĝon de rompoj, ligamentoj kaj ŝiritaj muskoloj, malpliigon de ŝvelado kaj mildigon de doloroj.
the larger of the felines emit strong harmonics said to generate muscle strength, increase joint mobility and relieve pain.  is this why they have nine lives?	la plej grandaj el la feledoj eligas fortajn harmonojn kiuj, laŭ onidiro, produktas muskolan forton, pliigas artikan moviĝeblon kaj mildigas doloron.  ĉu pro tio ili havas naŭ vivojn?
scientists are looking for ways to incorporate these findings into therapies for osteoporosis and to promote bone growth in the elderly.	sciencistoj serĉas manierojn enkorpigi tiujn eltrovojn en terapiojn por osteoporozo kaj akceli ostokreskon en gemaljunuloj.
so, if you want a healthy old age, get a cat!	do, se vi volas sanan maljunecon, akiru katon!
advice for translating songs	konsiloj pri tradukado de kantoj
one should pay careful attention to each syllable having its own place in the music.  several syllables should not be twisted and forced together into a single note.  on the other hand, if in the original a syllable is sung over several notes, additional syllables can sometimes be added.	oni zorge atentu, ke ĉiu silabo havu sian lokon en la muziko.  oni ne torde kunpremu plurajn silabojn en unu solan noton.  aliflanke, se en la originalo unu silabo estas kantita per pluraj notoj, oni kelkfoje povus aldoni silabojn.
in pop/rock music the use of syllables is often rather less rigid: the singer varies the number of syllables in musically identical places.  then the translator too can allow himself to play around with the number of syllables and not rigorously follow the capriciousness of the original..	en pop-roka muziko oni ofte emas silabumi iom malpli strikte: la kantisto variigas la silabonombron en muzike identaj lokoj.  tiam ankaŭ la tradukisto povus permesi al si ludeti per la silabonombro kaj ne rigore sekvi la kapricojn de la originalo….
with songs, one should first of all pay attention to the rhythm and rhyme. the content is less rigid. the same ideas can often be expressed with different words.	ĉe kantoj plej unue atentu ritmon kaj rimon.  la enhavo estas pli fleksebla.  per aliaj vortoj oni ofte povas esprimi la samajn ideojn.  oni evitu tro da signife malplenaj vortoj .
